headline,compound,pos,neu,neg
Asset Managers Push SEC To Revive ‘First-To-File’ Principle – Details,0.5994,0.38,0.62,0.0
Ether Outshines BTC & XRP Institutional Products Following $321 Million Pump,0.0,0.0,1.0,0.0
Will Ethereum’s price follow network’s latest adoption milestone of 148M holders?,0.0,0.0,1.0,0.0
"Experts found 4 billion user records online, the largest known leak of Chinese personal data from a single source",-0.34,0.0,0.882,0.118
Will Ethereum’s price follow network’s latest adoption milestone of 148M holders?,0.0,0.0,1.0,0.0
"Widely Followed Analyst Outlines Bullish Path for Bitcoin, Says BTC Will Battle Gold and ‘Never Look Back’",-0.3818,0.0,0.86,0.14
iShares Ethereum Trust ETF (NASDAQ:ETHA) Shares Acquired by Parallel Advisors LLC,0.6705,0.379,0.621,0.0
Spot Ether ETFs 15-day inflow streak accumulates $837.5M inflows,0.0,0.0,1.0,0.0
SEC’s crypto confusion deepens as next-gen ETFs test limits,-0.296,0.0,0.784,0.216
"Spot Ethereum ETFs post 14-day inflow run, lifting year-to-date haul above $3B",0.0,0.0,1.0,0.0
Attackers exploit Fortinet flaws to deploy Qilin ransomware,-0.6249,0.0,0.541,0.459
"Stalling first-mover advantage: VanEck, 21Shares, Canary press SEC to restore first-to-file ETF review order",0.34,0.247,0.647,0.106
Bitcoin ETFs just saw their first decline – Here’s what triggered the $6B pullback,0.0,0.0,1.0,0.0
Ethereum Price 2025 Shows 300% Growth: Bitcoin Solaris Mobile Mining Could Deliver More,0.3818,0.178,0.822,0.0
"VanEck, 21Shares, and Canary urge SEC to revert to ‘first to file, first to approve’ standard for crypto ETFs",0.0,0.0,1.0,0.0
Russia-linked threat actors targets Ukraine with PathWiper wiper,-0.5267,0.0,0.673,0.327
"Bitcoin Could Break The Dollar — $250K Prediction Still In Play, Billionaire Says",0.34,0.167,0.833,0.0
"Crypto Daybook Americas: Bitcoin, Jolted by Trump-Musk Clash, Rebounds Before Jobs Data",0.0,0.0,1.0,0.0
Best crypto to buy now as the crypto market reacts to the Trump-Musk feud,0.4215,0.226,0.645,0.129
U.S. Offers $10M bounty for info on RedLine malware creator and state hackers,0.0,0.0,1.0,0.0
Play ransomware group hit 900 organizations since 2022,0.34,0.255,0.745,0.0
Ether Trader Bets Millions on ETH Blasting Above $3.4K by June-End,0.0,0.0,1.0,0.0
"BlackRock buys $357 mln in BTC, ETH amid shifting whale sentiment",0.0,0.0,1.0,0.0
"Bitcoin, Solana and Dogecoin Plunge as Circle Stock Surges After IPO",0.0,0.0,1.0,0.0
U.S. CISA adds Google Chromium V8 flaw to its Known Exploited Vulnerabilities catalog,-0.5574,0.0,0.705,0.295
New versions of Chaos RAT target Windows and Linux systems,-0.5719,0.0,0.709,0.291
Truth Social Bitcoin and Ethereum ETF registered in Nevada,0.3182,0.223,0.777,0.0
Ethereum ETF Holdings Spike as BlackRock Snaps Up $560 Million in ETH,0.0,0.0,1.0,0.0
Top 50 Women in Web3 and AI,0.2023,0.231,0.769,0.0
"Ethereum price to $3K? ETH bulls might need to wait, analysis suggests",0.0,0.0,1.0,0.0
